

X [ m ], Y [ m ], Z [ m ]
4.83869575e-03, 8.03360436e-03, -5.23743153e-01
4.77266032e-03, 8.13087542e-03, -5.23586988e-01
4.67551174e-03, 7.80133996e-03, -5.23729146e-01
4.78383014e-03, 7.89322797e-03, -5.23804247e-01
3.84322857e-03, 7.07464293e-03, -5.27669132e-01
3.68371792e-03, 7.01999012e-03, -5.27721584e-01
3.77047178e-03, 7.14095170e-03, -5.27796149e-01
3.92862316e-03, 7.21486844e-03, -5.27748585e-01
3.98822315e-03, 7.14040315e-03, -5.27591884e-01
2.30325921e-03, 1.14341350e-02, -5.23304999e-01
2.15652003e-03, 1.13967666e-02, -5.23369193e-01
2.23570107e-03, 1.12799732e-02, -5.23249447e-01
2.38996395e-03, 1.13593945e-02, -5.23203075e-01
2.43152911e-03, 1.14901736e-02, -5.23254395e-01
4.49990109e-03, 8.49511847e-03, -5.23100495e-01
4.63670120e-03, 8.55535362e-03, -5.23166716e-01
4.54665674e-03, 8.63904040e-03, -5.23063004e-01
4.40849131e-03, 8.58127885e-03, -5.23003519e-01
4.36914852e-03, 8.43327213e-03, -5.23034096e-01
2.50037923e-03, 1.24257272e-02, -5.24065495e-01
2.59542023e-03, 1.25313578e-02, -5.24150252e-01
2.44526519e-03, 1.25105390e-02, -5.24204314e-01
2.56575388e-03, 1.23524135e-02, -5.23936749e-01
2.64790934e-03, 1.24601219e-02, -5.24026930e-01
7.80858274e-04, 9.52162407e-03, -5.23100555e-01
6.57331315e-04, 9.44907311e-03, -5.23175120e-01
7.56389811e-04, 9.35811829e-03, -5.23079813e-01
8.83235713e-04, 9.42769274e-03, -5.23009896e-01
9.12221032e-04, 9.59157478e-03, -5.23035347e-01
4.97979752e-04, 7.35550560e-03, -5.22651196e-01
6.14800083e-04, 7.43350200e-03, -5.22572279e-01
5.42128400e-04, 7.50916312e-03, -5.22689283e-01
4.56477137e-04, 7.20698573e-03, -5.22612751e-01
5.66983654e-04, 7.28305522e-03, -5.22530794e-01
5.26811741e-03, 8.47082771e-03, -5.23868263e-01
5.19236131e-03, 8.31862073e-03, -5.23924112e-01
5.32016391e-03, 8.42625182e-03, -5.23999214e-01
5.37830358e-03, 8.55204556e-03, -5.23952901e-01
5.33608580e-03, 8.61244556e-03, -5.23825347e-01
3.06175463e-03, 6.40774658e-03, -5.21697998e-01
3.12027684e-03, 6.47135358e-03, -5.21826565e-01
3.00535210e-03, 6.54416764e-03, -5.21753907e-01
9.18733189e-04, 1.16438949e-02, -5.24472356e-01
1.01812801e-03, 1.17629161e-02, -5.24485767e-01
9.06129251e-04, 1.17024826e-02, -5.24585605e-01
8.24077753e-04, 1.15765687e-02, -5.24539948e-01
8.70949472e-04, 1.15271425e-02, -5.24384856e-01
4.08298708e-03, 1.04020424e-02, -5.30261159e-01
4.01553046e-03, 1.02777295e-02, -5.30201495e-01
3.92292906e-03, 1.03736678e-02, -5.30292273e-01
3.98457982e-03, 1.05015757e-02, -5.30350626e-01
4.14673286e-03, 1.05293756e-02, -5.30323088e-01
1.27925875e-03, 6.30175974e-03, -5.26803613e-01
1.11404690e-03, 6.34374982e-03, -5.26729822e-01
1.18018431e-03, 6.43370720e-03, -5.26859164e-01
1.43203489e-03, 6.32743677e-03, -5.26908100e-01
1.30695442e-03, 6.40951190e-03, -5.26911974e-01
2.96333269e-03, 5.07030403e-03, -5.25107026e-01
2.92074727e-03, 5.10429544e-03, -5.25261283e-01
3.05627566e-03, 5.16059669e-03, -5.25199771e-01
