X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ]
2.74395421e-02, -2.44963467e-02, -4.85631496e-01, 1.09183540e+02, 0.00000000e+00
2.74783466e-02, -2.43350137e-02, -4.85590458e-01, 1.09095123e+02, 0.00000000e+00
2.75906324e-02, -2.42458880e-02, -4.85681772e-01, 1.09928200e+02, 0.00000000e+00
2.76713073e-02, -2.43578460e-02, -4.85829830e-01, 1.10743362e+02, 0.00000000e+00
2.76229195e-02, -2.46652309e-02, -4.85831022e-01, 1.10470947e+02, 0.00000000e+00
2.78273541e-02, -2.50904392e-02, -4.85986710e-01, 1.11245613e+02, 0.00000000e+00
2.79386062e-02, -2.49762088e-02, -4.86094534e-01, 1.11784828e+02, 0.00000000e+00
2.79685799e-02, -2.51590777e-02, -4.86069083e-01, 1.11711174e+02, 0.00000000e+00
2.80610640e-02, -2.50669960e-02, -4.86173868e-01, 1.12382347e+02, 0.00000000e+00
2.80177426e-02, -2.48915032e-02, -4.86204863e-01, 1.12486267e+02, 0.00000000e+00
2.78933700e-02, -2.47844514e-02, -4.86087888e-01, 1.11839607e+02, 0.00000000e+00
2.78268531e-02, -2.49039251e-02, -4.86012280e-01, 1.11381180e+02, 0.00000000e+00
2.77458355e-02, -2.47444101e-02, -4.85948741e-01, 1.11118408e+02, 0.00000000e+00
2.79911570e-02, -2.27183644e-02, -4.86434191e-01, 1.21641991e+02, 0.00000000e+00
2.80541200e-02, -2.26039700e-02, -4.86567318e-01, 1.22272675e+02, 0.00000000e+00
2.80359108e-02, -2.27811635e-02, -4.86599296e-01, 1.21750694e+02, 0.00000000e+00
2.79940218e-02, -2.25396007e-02, -4.86432403e-01, 1.21723289e+02, 0.00000000e+00
2.81363185e-02, -2.24812068e-02, -4.86689270e-01, 1.22783081e+02, 0.00000000e+00
2.80706715e-02, -2.24244185e-02, -4.86548752e-01, 1.22376762e+02, 0.00000000e+00
2.81772576e-02, -2.25386433e-02, -4.86854672e-01, 1.22539246e+02, 0.00000000e+00
2.82194410e-02, -2.23721135e-02, -4.86803979e-01, 1.23219017e+02, 0.00000000e+00
2.81583406e-02, -2.23150756e-02, -4.86657798e-01, 1.22995232e+02, 0.00000000e+00
2.80661024e-02, -2.28098910e-02, -4.86772269e-01, 1.21447655e+02, 0.00000000e+00
2.81220321e-02, -2.26968192e-02, -4.86896217e-01, 1.21816490e+02, 0.00000000e+00
2.80582458e-02, -2.28521805e-02, -4.86951351e-01, 1.21155113e+02, 0.00000000e+00
2.81051155e-02, -2.27396078e-02, -4.87051666e-01, 1.21569824e+02, 0.00000000e+00
2.81864405e-02, -2.25854442e-02, -4.87053990e-01, 1.22109734e+02, 0.00000000e+00
2.80291829e-02, -2.29190607e-02, -4.86668348e-01, 1.21050026e+02, 0.00000000e+00
2.76027154e-02, -2.15947386e-02, -4.86051232e-01, 1.17063591e+02, 0.00000000e+00
2.77109202e-02, -2.15213876e-02, -4.86138165e-01, 1.17156990e+02, 0.00000000e+00
2.77077537e-02, -2.16562115e-02, -4.86126959e-01, 1.17365517e+02, 0.00000000e+00
2.78234817e-02, -2.14518141e-02, -4.86215979e-01, 1.17360870e+02, 0.00000000e+00
2.77190730e-02, -2.13470701e-02, -4.86144006e-01, 1.16964691e+02, 0.00000000e+00
2.75968704e-02, -2.14206297e-02, -4.86066252e-01, 1.17093689e+02, 0.00000000e+00
2.79295705e-02, -2.15531923e-02, -4.86296952e-01, 1.18213463e+02, 0.00000000e+00
2.79512145e-02, -2.13769041e-02, -4.86286312e-01, 1.17653625e+02, 0.00000000e+00
2.72693634e-02, -2.44176630e-02, -4.88493681e-01, 1.25105553e+02, 0.00000000e+00
2.72623897e-02, -2.42442414e-02, -4.88462180e-01, 1.25466072e+02, 0.00000000e+00
2.72737481e-02, -2.43410990e-02, -4.88659054e-01, 1.25821449e+02, 0.00000000e+00
2.72837728e-02, -2.40241811e-02, -4.88637477e-01, 1.26572731e+02, 0.00000000e+00
2.72945929e-02, -2.39245556e-02, -4.88509446e-01, 1.26378441e+02, 0.00000000e+00
2.73151919e-02, -2.38505676e-02, -4.88632649e-01, 1.26938835e+02, 0.00000000e+00
2.72745043e-02, -2.40589082e-02, -4.88462299e-01, 1.25932312e+02, 0.00000000e+00
2.73023546e-02, -2.39109434e-02, -4.88323331e-01, 1.25819328e+02, 0.00000000e+00
