
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ]
1.15733379e-02, 1.72288734e-02, -5.34218252e-01
1.15551837e-02, 1.73116513e-02, -5.34069359e-01
1.15681654e-02, 1.73282456e-02, -5.33995152e-01
1.14700133e-02, 1.74705274e-02, -5.33917964e-01
1.13793798e-02, 1.75937172e-02, -5.33866227e-01
1.12750409e-02, 1.77976303e-02, -5.33658683e-01
1.12398025e-02, 1.78867616e-02, -5.33540249e-01
1.11666275e-02, 1.80337857e-02, -5.33384860e-01
1.11721745e-02, 1.80880632e-02, -5.33240616e-01
1.10889273e-02, 1.82852093e-02, -5.32992721e-01
1.10723181e-02, 1.83448736e-02, -5.32894909e-01
1.10709341e-02, 1.82379670e-02, -5.33153474e-01
1.06571997e-02, 1.92049295e-02, -5.31952560e-01
1.10507961e-02, 1.85236577e-02, -5.32526016e-01
1.10754278e-02, 1.84163209e-02, -5.32716334e-01
1.09556001e-02, 1.86758116e-02, -5.32417536e-01
1.08884647e-02, 1.88512523e-02, -5.32178402e-01
1.09128412e-02, 1.87547244e-02, -5.32343626e-01
1.07428161e-02, 1.90548580e-02, -5.32081723e-01
1.06271757e-02, 1.91825777e-02, -5.32086134e-01
1.05379093e-02, 1.92956328e-02, -5.32054961e-01
1.07855480e-02, 1.89259835e-02, -5.32274961e-01
1.06726121e-02, 1.90622788e-02, -5.32251596e-01
1.09563060e-02, 1.74498037e-02, -5.35339117e-01
1.11407936e-02, 1.73072722e-02, -5.35186410e-01
1.13288881e-02, 1.71847325e-02, -5.34976542e-01
1.14523778e-02, 1.71395559e-02, -5.34754217e-01
1.14922905e-02, 1.71498694e-02, -5.34623027e-01
1.12666572e-02, 1.77244544e-02, -5.33855557e-01
1.14692198e-02, 1.72333457e-02, -5.34485757e-01
1.15139689e-02, 1.72391888e-02, -5.34352303e-01
1.14396373e-02, 1.73744801e-02, -5.34228086e-01
1.14143193e-02, 1.74503420e-02, -5.34114718e-01
1.13602523e-02, 1.75577290e-02, -5.34003079e-01
1.12448540e-02, 1.76979732e-02, -5.33976853e-01
1.11592012e-02, 1.78703237e-02, -5.33794701e-01
1.11317569e-02, 1.79724600e-02, -5.33624351e-01
1.11138662e-02, 1.80348661e-02, -5.33523202e-01
1.10864621e-02, 1.81210190e-02, -5.33390939e-01
1.10102016e-02, 1.82376336e-02, -5.33316553e-01
1.10400198e-02, 1.83016881e-02, -5.33084035e-01
1.09810038e-02, 1.83950979e-02, -5.33018947e-01
1.09853325e-02, 1.84667781e-02, -5.32836556e-01
1.09347142e-02, 1.83535125e-02, -5.33241808e-01
1.03994552e-02, 1.94448438e-02, -5.32068789e-01
1.09994924e-02, 1.85332950e-02, -5.32640100e-01
1.09381042e-02, 1.86280515e-02, -5.32578170e-01
1.08333509e-02, 1.87750291e-02, -5.32507420e-01
1.08335782e-02, 1.88343562e-02, -5.32365322e-01
1.05645647e-02, 1.92113742e-02, -5.32184660e-01
1.04895588e-02, 1.93041898e-02, -5.32163680e-01
1.03728008e-02, 1.94323249e-02, -5.32169759e-01
1.06787300e-02, 1.90053955e-02, -5.32370865e-01
1.05944313e-02, 1.91165525e-02, -5.32330930e-01
1.06310658e-02, 1.77708454e-02, -5.35442293e-01
1.08074155e-02, 1.76080689e-02, -5.35359442e-01
1.10562220e-02, 1.74121708e-02, -5.35162032e-01
1.08627183e-02, 1.75727773e-02, -5.35295844e-01
1.12370988e-02, 1.72728114e-02, -5.35011590e-01
1.13316625e-02, 1.72372069e-02, -5.34843981e-01
1.13769490e-02, 1.72672719e-02, -5.34651160e-01
1.11438278e-02, 1.78496409e-02, -5.33885062e-01
1.13967611e-02, 1.73672065e-02, -5.34360051e-01
1.13543170e-02, 1.73348337e-02, -5.34550607e-01
1.13447187e-02, 1.74536202e-02, -5.34292817e-01
1.13096321e-02, 1.75407566e-02, -5.34178674e-01
1.12360446e-02, 1.76542439e-02, -5.34104586e-01
1.11779682e-02, 1.77705251e-02, -5.33982575e-01
1.10515123e-02, 1.79716852e-02, -5.33840418e-01
1.10239703e-02, 1.80579238e-02, -5.33708334e-01
1.10061858e-02, 1.81200989e-02, -5.33607543e-01
1.09786484e-02, 1.82061587e-02, -5.33475816e-01
1.09026497e-02, 1.83223188e-02, -5.33401728e-01
1.09188501e-02, 1.84143689e-02, -5.33139050e-01
1.08985994e-02, 1.84943993e-02, -5.33002257e-01
1.09132724e-02, 1.85484253e-02, -5.32834351e-01
1.08271595e-02, 1.84381753e-02, -5.33327162e-01
1.01707364e-02, 1.96255147e-02, -5.32248676e-01
1.08899958e-02, 1.86172463e-02, -5.32732427e-01
1.07980641e-02, 1.87432319e-02, -5.32677472e-01
1.07226893e-02, 1.88584365e-02, -5.32603920e-01
1.06984358e-02, 1.89162660e-02, -5.32530785e-01
1.04927244e-02, 1.92361288e-02, -5.32317460e-01
1.03971800e-02, 1.93591695e-02, -5.32279193e-01
1.03216860e-02, 1.94218438e-02, -5.32331228e-01
1.02280090e-02, 1.95472576e-02, -5.32282293e-01
1.05980728e-02, 1.90120060e-02, -5.32570422e-01
1.05449827e-02, 1.91109236e-02, -5.32476366e-01
1.02917738e-02, 1.81478877e-02, -5.35449147e-01
1.04773184e-02, 1.79511998e-02, -5.35422742e-01
1.05501646e-02, 1.78968981e-02, -5.35357654e-01
1.07310722e-02, 1.77204534e-02, -5.35295427e-01
1.10104727e-02, 1.74803808e-02, -5.35121560e-01
1.11608151e-02, 1.73689034e-02, -5.34986079e-01
1.08362073e-02, 1.76365878e-02, -5.35214543e-01
1.09528601e-02, 1.75694004e-02, -5.35063148e-01
1.12831965e-02, 1.73070673e-02, -5.34806669e-01
1.12832300e-02, 1.73461530e-02, -5.34713268e-01
1.10132219e-02, 1.79305654e-02, -5.34040749e-01
1.12832636e-02, 1.74479354e-02, -5.34470558e-01
1.12451082e-02, 1.74259786e-02, -5.34624696e-01
1.12618003e-02, 1.75282694e-02, -5.34336209e-01
1.11599267e-02, 1.77188236e-02, -5.34153998e-01
1.11386394e-02, 1.76762491e-02, -5.34312427e-01
1.09443003e-02, 1.80565175e-02, -5.33924520e-01
1.09262317e-02, 1.81515664e-02, -5.33746123e-01
1.08713834e-02, 1.82908457e-02, -5.33560336e-01
1.07955439e-02, 1.84068270e-02, -5.33486187e-01
1.07822204e-02, 1.85306612e-02, -5.33226728e-01
1.07845236e-02, 1.85844600e-02, -5.33092260e-01
1.08062802e-02, 1.86674874e-02, -5.32836080e-01
1.07858302e-02, 1.86399296e-02, -5.32956362e-01
1.07200192e-02, 1.85225382e-02, -5.33411920e-01
1.00978073e-02, 1.96578335e-02, -5.32366455e-01
9.92852077e-03, 1.97750386e-02, -5.32539070e-01
1.07149594e-02, 1.88039076e-02, -5.32754600e-01
1.05753010e-02, 1.89663153e-02, -5.32740235e-01
1.04150996e-02, 1.92445032e-02, -5.32504797e-01
1.02713546e-02, 1.93953793e-02, -5.32528818e-01
1.02051450e-02, 1.95005462e-02, -5.32454789e-01
1.04941009e-02, 1.90550108e-02, -5.32745659e-01
1.00073274e-02, 1.84897538e-02, -5.35393536e-01
1.02092540e-02, 1.82626285e-02, -5.35395980e-01
1.03803668e-02, 1.80869102e-02, -5.35358012e-01
1.05359489e-02, 1.79545954e-02, -5.35258055e-01
1.07035851e-02, 1.77908763e-02, -5.35200894e-01
1.10681336e-02, 1.74872819e-02, -5.34951150e-01
1.07998373e-02, 1.77197549e-02, -5.35113454e-01
1.08633768e-02, 1.76912602e-02, -5.35011649e-01
1.09831169e-02, 1.76070631e-02, -5.34892559e-01
1.12040658e-02, 1.74095072e-02, -5.34773588e-01
1.10152513e-02, 1.78559460e-02, -5.34213305e-01
1.09132454e-02, 1.80246774e-02, -5.34083307e-01
1.11762080e-02, 1.75356995e-02, -5.34547150e-01
1.11014219e-02, 1.75380576e-02, -5.34741163e-01
1.11541636e-02, 1.76163334e-02, -5.34413815e-01
1.10516166e-02, 1.77304577e-02, -5.34415543e-01
1.08374255e-02, 1.81409232e-02, -5.34008563e-01
1.08682364e-02, 1.81728993e-02, -5.33850133e-01
1.08405855e-02, 1.82589181e-02, -5.33718824e-01
1.07644349e-02, 1.83751304e-02, -5.33644974e-01
1.06885750e-02, 1.84910968e-02, -5.33570945e-01
1.07036848e-02, 1.85835920e-02, -5.33310056e-01
1.06814075e-02, 1.86980106e-02, -5.33096790e-01
