X [ m ], Y [ m ], Z [ m ]
0.035508782,-0.01683725,-0.484489501
0.035577793,-0.016702253,-0.484557211
0.034454275,-0.01715729,-0.485826194
0.034351539,-0.017201886,-0.485707998
0.034276396,-0.01719874,-0.485825509
0.034184165,-0.017186107,-0.485992521
0.034336619,-0.017163245,-0.48595506
0.034344472,-0.017218683,-0.48556456
0.034486916,-0.017182291,-0.485645831
0.034486327,-0.01720329,-0.485460818
0.034433391,-0.016924476,-0.486479968
0.034560699,-0.016855173,-0.486420006
0.034486111,-0.01697094,-0.486338228
0.034305777,-0.016987151,-0.486542106
0.034356762,-0.017024268,-0.486396909
0.034977041,-0.01690362,-0.48566851
0.035056114,-0.016773053,-0.485749096
0.035090078,-0.016812852,-0.485589176
0.035121039,-0.016845159,-0.485431165
0.035007261,-0.01693432,-0.485505432
0.035241943,-0.015390154,-0.484995216
0.035276767,-0.01535161,-0.484841526
0.035356004,-0.01547565,-0.484915853
0.03531377,-0.015316301,-0.484686404
0.035394456,-0.015437122,-0.484766543
0.035942733,-0.015310141,-0.483568668
0.035812739,-0.015226646,-0.48365888
0.035861403,-0.015179905,-0.483508945
0.035907954,-0.015133519,-0.483356982
0.035985094,-0.015250002,-0.483419001
0.036237545,-0.015552614,-0.483367652
0.036200423,-0.015611983,-0.483474195
0.036157861,-0.015487921,-0.48342815
0.03617562,-0.015416933,-0.483329266
0.036075875,-0.015386448,-0.483451307
0.035947461,-0.015078771,-0.48321265
0.035820577,-0.015028085,-0.483288378
0.035979215,-0.015028185,-0.483094126
0.035855845,-0.014981276,-0.483156592
0.035558801,-0.015268714,-0.484174579
0.035599321,-0.015226902,-0.484026045
0.035681229,-0.015348585,-0.484101474
0.035637904,-0.015388026,-0.484245896
0.035514418,-0.015307407,-0.484323293
0.036240339,-0.015769551,-0.483523905
0.036184005,-0.01583481,-0.483668208
0.036150951,-0.015666638,-0.483607888
0.036110032,-0.015520531,-0.483542144
0.036040396,-0.015774375,-0.483895719
0.036003459,-0.015624135,-0.483841151
0.036096998,-0.015723309,-0.483757108
0.036059476,-0.015925223,-0.483938128
0.036123216,-0.015878487,-0.48380208
0.035849713,-0.015923921,-0.484332919
0.03583917,-0.015776264,-0.48427844
0.035921142,-0.015880041,-0.484178931
0.035806414,-0.015627755,-0.484223723
0.035897162,-0.015723694,-0.484132946
0.034826744,-0.015828576,-0.486282349
0.034863461,-0.0160008,-0.486327201
0.034771096,-0.015671007,-0.486232013
0.018871175,-0.019116169,-0.482419938
0.018724164,-0.019104624,-0.482380211
0.018733034,-0.019098828,-0.482547879
0.018997468,-0.019109441,-0.482275069
0.018806946,-0.019095957,-0.482259601
0.019811196,-0.017944736,-0.481263757
0.019972052,-0.017801752,-0.481276661
0.019798715,-0.017770704,-0.481256127
0.020117046,-0.017697787,-0.481297553
0.020283237,-0.017780164,-0.48132214
0.020268884,-0.017616222,-0.481324345
0.020147236,-0.01755752,-0.481309444
0.019959278,-0.017590411,-0.481280744
0.01879097,-0.018605681,-0.481440574
0.018864097,-0.018483292,-0.481352538
0.018646017,-0.01851074,-0.481361538
0.018448262,-0.018470801,-0.481343538
0.018468222,-0.018590789,-0.48141396
0.019341501,-0.016242893,-0.482476532
0.019412577,-0.016244175,-0.482634902
0.019173259,-0.016261345,-0.482601583
0.019507384,-0.016240226,-0.482447028
0.020952756,-0.016705379,-0.483911753
0.021035101,-0.016591452,-0.483825028
0.021125346,-0.016684597,-0.483926862
0.020877108,-0.016829435,-0.483987182
0.021046175,-0.016809057,-0.484006017
0.020077366,-0.01621758,-0.482700646
0.019904634,-0.016225031,-0.482659072
0.020081554,-0.016225772,-0.482537806
0.020290563,-0.016232899,-0.482463181
0.02022727,-0.016214483,-0.482630163
0.021982629,-0.019303201,-0.482898802
0.021836465,-0.019293064,-0.482808739
0.021794846,-0.019278394,-0.48299545
0.021969011,-0.019290909,-0.483052403
0.022144016,-0.019317115,-0.483005524
0.021293419,-0.017724395,-0.481500208
0.021280829,-0.017554309,-0.481514633
0.021136291,-0.01766834,-0.481477827
0.021970145,-0.017934836,-0.484334618
0.021807717,-0.017797424,-0.484329045
0.022000311,-0.017760402,-0.484348804
0.021418475,-0.019004129,-0.48360613
0.021493983,-0.01892376,-0.483726293
0.021584945,-0.019017994,-0.483624101
0.021520525,-0.019085283,-0.483497381
0.0213535,-0.019072119,-0.483483166
0.02500511,-0.017260278,-0.482826024
