[Data],,
X [ m ], Y [ m ], Z [ m ]
0.0345965922 ,-0.0152058369 ,-0.4822717910 
0.0345518924 ,-0.0151492283 ,-0.4824280140 
0.0344749987 ,-0.0152621204 ,-0.4823557730 
0.0239632018 ,-0.0196486935 ,-0.4842813910 
0.0238955338 ,-0.0195204541 ,-0.4843530950 
0.0240214430 ,-0.0195792802 ,-0.4844169320 
0.0240840539 ,-0.0197170898 ,-0.4843466880 
0.0240338221 ,-0.0197691787 ,-0.4841997920 
0.0258061383 ,-0.0175860021 ,-0.4833848480 
0.0259015020 ,-0.0176901855 ,-0.4832904930 
0.0259232298 ,-0.0176681913 ,-0.4834673110 
0.0259441175 ,-0.0176703800 ,-0.4836436210 
0.0258223619 ,-0.0175778158 ,-0.4835605620 
0.0349472910 ,-0.0156872775 ,-0.4860301610 
0.0349969491 ,-0.0158434864 ,-0.4860752220 
0.0348925553 ,-0.0157552902 ,-0.4861529170 
0.0350257307 ,-0.0160059333 ,-0.4861109850 
0.0349348187 ,-0.0159178320 ,-0.4861974120 
0.0346137621 ,-0.0154022370 ,-0.4860913160 
0.0345613137 ,-0.0154627422 ,-0.4862288830 
0.0344644748 ,-0.0153508671 ,-0.4861399230 
0.0345183313 ,-0.0153021244 ,-0.4860036970 
0.0346703492 ,-0.0153545365 ,-0.4859561030 
0.0358322859 ,-0.0168262813 ,-0.4838379030 
0.0359678566 ,-0.0167515241 ,-0.4837238790 
0.0358582623 ,-0.0169070065 ,-0.4836454090 
0.0357209630 ,-0.0169492811 ,-0.4837737080 
0.0357062928 ,-0.0168980472 ,-0.4839347000 
0.0344825536 ,-0.0172427073 ,-0.4848411680 
0.0345115028 ,-0.0172297675 ,-0.4850300550 
0.0346246772 ,-0.0172279403 ,-0.4848710000 
0.0347143188 ,-0.0172273386 ,-0.4847479160 
0.0345626138 ,-0.0172456466 ,-0.4846971630 
0.0346622802 ,-0.0172275119 ,-0.4835905130 
0.0346177854 ,-0.0172369834 ,-0.4837625320 
0.0347715840 ,-0.0172488913 ,-0.4837548140 
0.0347846076 ,-0.0172218177 ,-0.4833929840 
0.0348127037 ,-0.0172436368 ,-0.4836021070 
0.0337408930 ,-0.0168963391 ,-0.4837156530 
0.0338719077 ,-0.0169640854 ,-0.4836530980 
